id,sessions_weight,views_weight,cart_weight,checkout_weight,orders_gross_weight,orders_net_weight,discount_penalty,dnp_weight,created_at
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,"2025-05-08 09:43:13"
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"2025-05-08 10:13:52"
3,1.0,1.0,1.2,1.0,1.0,1.0,0.0,2.0,"2025-05-08 10:43:05"
4,1.0,1.3,1.1,1.0,1.1,1.0,3.0,2.0,"2025-05-08 10:43:34"
5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,"2025-05-08 10:44:42"
6,1.1,1.0,1.1,1.0,1.0,1.0,0.0,2.0,"2025-05-08 10:45:11"
7,1.0,1.1,1.1,1.0,1.0,1.0,0.0,1.4,"2025-05-08 10:46:01"
8,1.0,1.1,1.1,1.0,1.0,1.0,0.0,3.0,"2025-05-08 10:46:12"
9,1.0,1.1,1.1,1.0,1.0,1.0,2.0,3.0,"2025-05-08 10:46:25"
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,"2025-05-08 10:54:04"
11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,"2025-05-08 10:54:25"
12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,20.0,"2025-05-08 10:59:29"
13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,"2025-05-08 11:09:42"
14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,"2025-05-08 11:18:34"
15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,20.0,"2025-05-08 11:19:47"
16,1.0,1.2,1.3,1.0,1.1,1.0,2.0,10.0,"2025-05-08 11:21:35"
17,1.0,1.2,1.3,1.0,1.1,1.0,5.0,10.0,"2025-05-08 11:21:52"
18,1.0,1.2,1.3,1.0,1.1,1.0,0.0,10.0,"2025-05-08 11:22:18"
19,1.0,1.2,1.3,1.0,1.1,1.0,90.0,10.0,"2025-05-08 11:22:30"
20,1.0,1.2,1.3,1.0,1.1,1.0,90.0,0.5,"2025-05-08 11:25:22"
21,1.0,1.2,1.3,1.0,1.1,1.0,1.0,10.0,"2025-05-08 11:25:51"
